"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin2","fin4","fin5","fin6","fin7","fin8","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14a","fin14a1","fin14b","fin16","fin17a","fin17a1","fin20","fin22a","fin22b","fin24","fin24a","fin24b","fin30","fin31a","fin31b","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin44a","fin44b","fin44c","fin44d","fin45","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Iran, Islamic Rep.","IRN",123464787,0.552448542981344,2,70,1,5,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,3,1,1,1,,2,,,,,,2,2,,,,,3,3,3,3,,0,0,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",164492225,0.857449434499169,2,70,2,2,2,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,,2,,,,,,2,1,2,2,2,2,1,1,2,1,2,1,1,4,4,3,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",162276106,1.45798432990322,2,18,2,4,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,1,1,2,2,,2,2,2,2,2,1,2,,,,1,2,1,2,,,1,2,1,2,,,1,1,3,2,4,0,1,1,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",148978177,1.17644718181691,2,37,3,3,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,2,2,1,2,2,2,2,,,,1,2,1,2,,,1,2,2,2,1,,1,1,2,1,2,0,1,1,2,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",138546380,0.752077113929838,2,45,3,5,1,,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,2,,2,1,1,3,3,3,1,1,1,,1,1,1,2,,,1,2,2,2,1,,3,3,3,3,,1,1,1,2,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",136426225,0.405123874736584,2,32,2,5,1,,1,1,0,1,1,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,3,3,3,2,,,,2,,,,,,2,2,,,,,2,2,3,4,1,1,0,4,4,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",159742538,0.807443148634791,1,18,2,4,2,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,2,3,3,3,,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",143270379,0.761627846792223,1,73,1,5,2,,0,0,0,2,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,,1,2,2,3,1,1,2,,,,2,,,,,,2,2,,,,,1,1,1,4,1,0,1,4,4,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",174133246,1.11019312636233,1,39,3,3,1,,1,1,0,1,1,1,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,3,2,1,1,1,2,,1,1,1,2,,,2,2,,,,,1,1,1,1,2,0,1,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",189779968,0.643384104207826,2,53,2,4,1,,1,1,0,1,1,1,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,2,2,2,2,,1,1,1,2,2,1,1,1,1,,1,1,1,2,,,1,1,1,2,,,1,1,2,4,1,0,1,1,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",156949506,0.967432605558074,1,36,3,3,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,1,,1,1,1,6,2,1,2,,,,1,2,1,2,,,2,2,,,,,1,3,3,4,,1,1,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",144551134,1.09915631163303,1,34,2,3,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,1,2,2,1,,1,1,2,2,2,2,2,,,,2,,,,,,1,2,2,2,2,2,3,1,3,2,2,1,1,4,3,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",159134256,1.08132599838148,1,34,2,1,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,1,1,2,2,2,,1,1,1,2,1,1,2,,,,2,,,,,,1,2,1,2,,,1,2,1,1,2,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",210516651,0.909633940831534,2,78,1,4,1,,1,1,0,2,,2,1,2,,,2,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,1,2,,,,2,,,,,,1,1,1,2,,,1,1,1,4,1,0,0,4,1,1,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",130205240,1.08810348729055,2,35,1,3,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,1,2,2,2,,2,2,2,4,1,1,2,,,,1,2,2,2,1,,1,2,1,2,,,1,1,3,1,4,1,1,2,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",155005994,0.353862310643828,2,42,2,3,1,,1,1,0,1,1,1,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,2,1,2,2,,2,2,2,3,3,2,1,2,1,,1,2,1,2,,,1,2,1,2,,,1,1,2,1,1,0,0,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",172757874,0.649123585623151,2,56,2,4,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,2,2,2,,2,2,2,3,2,2,1,1,2,,1,2,1,2,,,1,2,1,2,,,2,1,3,2,1,0,0,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",122300863,0.542271793691183,2,47,2,3,1,,0,0,0,2,,,,,,,,,,,,1,2,1,1,1,1,1,2,1,,,,,2,2,2,2,2,2,,1,2,1,2,2,2,2,,,,2,,,,,,2,2,,,,,2,2,2,2,2,0,1,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",134051724,1.33050695584566,2,30,3,4,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,1,2,2,2,,2,1,2,2,3,2,1,2,2,2,2,,,,,,1,2,2,2,1,,3,3,2,1,3,1,1,4,2,4,,3,,1,1,1,
"Iran, Islamic Rep.","IRN",118885399,1.02589164024777,2,45,3,4,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,1,1,1,1,,1,2,1,2,3,3,1,1,1,,2,,,,,,1,2,1,2,,,1,1,2,3,2,1,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",210221838,0.831597435265154,1,42,2,2,2,,1,1,0,1,1,2,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,3,2,1,2,2,1,2,,,,,,1,2,2,2,2,2,1,1,2,1,4,0,1,4,3,4,,2,,2,2,1,
"Iran, Islamic Rep.","IRN",134237614,1.14009074383722,1,15,2,4,2,,1,1,0,1,1,1,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,2,1,2,1,,1,2,1,1,3,2,1,1,1,,2,,,,,,3,2,,,,,1,1,2,2,4,1,1,4,5,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",162662918,1.43364297604474,2,25,3,3,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,2,2,2,3,3,2,2,,,,1,2,1,2,,,2,2,,,,,1,1,2,3,1,0,1,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",145922330,0.907503097192974,2,20,2,5,1,,1,1,0,1,1,2,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,1,1,1,1,,2,2,1,1,3,3,2,,,,2,,,,,,1,2,1,2,,,3,3,2,1,3,1,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",167440726,2.42072842079837,1,32,1,1,2,,0,0,0,2,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,2,2,2,2,2,,2,2,1,2,3,2,2,,,,2,,,,,,2,2,,,,,1,1,3,2,2,0,1,4,4,4,,4,,2,1,0,
"Iran, Islamic Rep.","IRN",122615418,0.967432605558074,1,36,3,1,2,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,1,1,1,1,1,0,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",140029582,0.602445240392049,1,47,3,3,2,,0,0,0,2,,,,,,,,,,,,1,2,2,1,2,2,2,1,2,,,,,2,2,1,2,2,2,,2,2,2,8,,,2,,,,2,,,,,,2,2,,,,,3,3,3,4,,0,0,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",111228806,1.5576029786841,2,17,2,2,2,,1,1,0,1,1,1,1,2,,,2,,1,1,1,,,,,,,,,,,,,,2,2,1,1,2,1,,2,2,2,5,2,2,1,2,2,1,2,,,,,,1,2,1,2,,,1,1,2,2,1,1,0,4,1,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",127664832,0.497086516202127,2,55,3,5,1,,1,1,0,1,1,2,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,1,1,3,3,2,1,1,2,,1,1,1,2,,,2,2,,,,,1,1,1,1,1,0,1,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",117290238,2.45625362178791,1,37,2,1,1,,1,1,0,1,2,1,1,2,,,2,,1,2,2,,,,,,,,,,,,,,2,1,2,2,2,1,,2,2,1,1,2,2,1,1,1,,2,,,,,,2,2,,,,,3,2,2,3,3,1,1,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",197932783,0.511669385861248,2,54,3,4,1,,1,1,1,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,,2,,,,,,1,1,2,2,2,2,1,1,2,2,2,0,1,4,3,3,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",112641010,1.21551403167796,2,24,3,3,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,2,2,,2,1,1,1,2,2,2,,,,2,,,,,,1,2,1,2,,,2,2,2,2,2,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",173865273,0.991275209489569,1,28,2,1,2,,1,1,0,1,2,2,2,2,,,2,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,3,3,2,,,,2,,,,,,1,2,1,2,,,2,3,3,3,,1,0,4,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",195633840,1.17798493541284,1,61,1,3,1,,1,1,0,1,2,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,2,,2,2,2,5,1,2,1,1,2,,2,,,,,,1,1,1,2,,,3,3,3,4,,1,0,4,1,1,,1,,2,2,1,
"Iran, Islamic Rep.","IRN",173467938,1.09782885295235,1,19,2,2,1,,1,1,0,1,1,2,2,2,,,1,2,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,2,1,2,,,,2,,,,,,2,2,,,,,3,3,3,3,,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",165569699,0.304363756797461,1,62,2,5,2,,1,1,0,1,1,1,1,2,,,2,,2,,1,,,,,,,,,,,,,,2,1,2,2,2,2,,2,2,2,3,1,1,1,1,1,,2,,,,,,2,1,1,2,,,3,2,3,3,,0,0,4,4,1,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",197898844,1.10722253435347,1,17,2,1,2,,1,1,0,1,1,1,1,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,3,2,2,,,,2,,,,,,2,2,,,,,3,1,2,3,2,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",153237464,0.683640947557203,2,62,1,2,1,,1,1,0,1,1,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,3,2,2,1,1,2,,2,,,,,,2,1,1,2,,,2,2,1,2,1,0,0,4,4,1,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",197831622,0.837792491900698,1,29,3,5,1,,1,1,1,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,1,2,2,,1,2,1,2,2,2,2,,,,1,2,2,1,,,2,2,,,,,1,1,1,2,3,0,1,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",208212523,1.70091678785851,1,34,1,4,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,1,1,1,2,2,,1,2,2,2,1,1,1,1,1,,2,,,,,,1,2,2,2,2,1,1,2,2,2,2,0,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",186483275,1.14380184899814,2,20,2,2,1,,1,1,0,1,1,1,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,1,2,2,,2,2,1,3,1,1,2,,,,1,2,2,2,1,,2,2,,,,,1,2,2,2,1,0,1,2,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",170877504,2.59089187617767,2,68,1,2,2,,1,1,0,1,2,2,2,2,,,2,,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,1,2,1,2,2,1,2,,,,2,,,,,,2,1,1,2,,,1,1,1,4,2,0,1,4,4,1,,4,,2,2,1,
"Iran, Islamic Rep.","IRN",175566164,1.09660468702531,1,32,2,1,2,,1,1,0,2,,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,1,2,,,,2,,,,,,1,2,2,2,2,1,2,2,2,2,2,1,0,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",147409924,0.909633940831534,2,80,1,4,2,,1,1,0,1,1,2,2,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,1,2,1,2,,,3,3,3,3,,0,0,4,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",202105229,1.56288011956793,2,15,2,5,2,,1,1,0,2,,1,2,2,,,2,,1,2,1,,,,,,,,,,,,,,2,1,1,2,1,1,,2,2,2,2,3,3,2,,,,2,,,,,,2,2,,,,,3,3,3,3,,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",132103933,0.839061262377214,2,46,2,3,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,2,2,2,2,3,2,1,1,1,,1,1,1,2,,,1,2,1,2,,,1,1,2,2,3,1,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",115030210,1.07132030036898,1,26,2,1,2,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,1,,2,2,1,3,3,2,1,1,2,,2,,,,,,1,2,2,2,2,1,3,2,3,3,,1,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",207429086,0.447898886803593,1,68,2,5,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,1,2,2,2,,2,1,2,4,3,1,1,2,1,,2,,,,,,1,1,1,2,,,1,1,2,3,2,0,1,4,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",187341145,1.26203867071969,1,49,1,5,2,,0,0,0,2,,,,,,,,,,,,2,1,1,3,2,1,1,1,1,,,,,2,2,2,2,2,2,,2,2,2,5,2,1,2,,,,2,,,,,,2,2,,,,,2,2,2,3,1,0,0,4,4,4,,4,,2,2,0,
"Iran, Islamic Rep.","IRN",170350911,0.761627846792223,1,50,1,3,2,,0,0,0,2,,,,,,,,,,,,2,2,2,2,2,1,1,2,2,,,,,2,2,2,2,2,2,,2,2,2,2,5,6,2,,,,2,,,,,,2,2,,,,,3,3,3,4,,0,0,4,4,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",181851357,0.852019126561579,1,50,1,1,1,,1,1,0,1,1,1,1,3,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,2,2,2,2,,2,1,2,3,2,2,1,1,1,,1,2,1,2,,,1,2,1,2,,,1,2,2,4,2,0,1,1,1,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",182230386,1.39636553819577,2,19,2,3,1,,1,1,0,1,1,2,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,1,2,1,2,3,2,2,,,,1,2,2,2,1,,1,2,1,2,,,1,2,2,3,1,0,1,2,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",121720032,1.41133956291872,2,34,3,1,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,1,2,2,2,,1,2,1,2,1,4,1,1,1,,2,,,,,,2,2,,,,,1,1,2,1,2,0,1,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",190108376,0.735399145146191,2,46,2,4,1,,1,1,0,1,1,1,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,1,2,,2,2,2,3,3,3,2,,,,2,,,,,,1,2,1,2,,,3,3,3,4,,1,0,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",207269444,1.12713654188859,1,23,3,5,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,1,1,1,1,,2,1,2,3,3,3,2,,,,1,1,1,2,,,2,2,,,,,3,3,3,3,,1,1,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",150098716,1.2172371440141,2,43,1,1,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,1,2,2,2,2,1,,2,1,1,1,3,3,2,,,,2,,,,,,1,2,1,2,,,1,1,1,1,3,1,1,4,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",124162755,1.44844293460191,1,20,2,4,1,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,1,2,2,,2,2,2,2,1,1,2,,,,2,,,,,,1,2,1,2,,,2,1,2,1,2,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",173617682,0.373487428325927,1,86,2,5,2,,1,1,0,1,1,2,1,2,,,2,,1,1,1,,,,,,,,,,,,,,2,1,2,2,1,1,,2,1,1,4,3,2,1,1,1,,2,,,,,,2,2,,,,,3,3,3,4,,1,1,4,4,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",168283613,1.01792654155641,1,36,3,1,2,,1,1,0,1,1,1,1,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,1,2,1,2,2,,2,2,2,6,2,1,1,1,1,,2,,,,,,2,2,,,,,1,1,2,2,4,0,0,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",112735781,0.976819715607819,1,32,2,3,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,1,2,3,2,2,2,,,,2,,,,,,1,2,1,2,,,2,5,2,2,1,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",207018612,0.867147490298077,1,45,1,1,2,,1,1,0,1,1,2,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,1,1,2,,,,2,,,,,,1,2,1,2,,,1,1,1,1,3,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",191949788,1.44932184328596,1,30,1,2,1,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,2,1,2,2,2,2,2,2,2,1,3,2,2,2,,,,2,,,,,,2,2,,,,,1,2,2,2,1,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",131323297,0.625550085076389,2,48,2,1,1,,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,,,,,,,,,,,,,,2,1,2,2,2,2,,2,2,2,5,2,1,1,2,2,1,2,,,,,,1,2,2,2,2,1,1,1,2,1,1,0,1,4,1,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",120548452,0.94336158931076,1,18,2,1,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,1,2,2,2,,1,2,1,2,2,1,1,2,2,1,2,,,,,,1,2,1,2,,,1,1,1,2,3,0,1,4,1,4,,2,,1,1,1,
"Iran, Islamic Rep.","IRN",165520923,1.49858858835942,2,26,2,3,1,,1,1,0,1,2,2,2,2,,,2,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,1,1,2,,,,2,,,,,,2,2,,,,,1,1,2,1,2,0,0,4,4,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",207820989,1.48094890628158,2,53,1,2,1,,1,1,0,1,1,1,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,1,1,,2,1,2,3,2,1,1,1,2,,2,,,,,,1,2,1,2,,,1,1,2,4,1,1,1,4,1,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",147393414,1.0999203157811,1,27,3,1,1,,1,1,1,1,1,1,2,2,,,1,2,1,1,1,,,,,,,,,,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,,1,2,1,2,,,2,2,,,,,1,1,2,2,1,1,0,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",147754697,0.673460682491819,1,61,1,4,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,2,2,1,1,2,,2,,,,,,1,1,1,2,,,3,3,1,3,,1,0,4,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",129827396,0.846802704495028,1,29,2,2,1,,0,0,0,2,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,,,,,2,2,2,2,2,2,,1,2,1,5,1,1,2,,,,2,,,,,,2,2,,,,,1,1,1,1,4,0,1,4,4,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",211098543,0.799971412440886,2,75,1,4,2,,1,1,0,1,2,2,2,2,,,1,2,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,2,2,1,2,2,2,2,,,,,,1,1,2,2,2,1,3,3,3,4,,0,1,4,1,1,,3,,1,2,1,
"Iran, Islamic Rep.","IRN",142875534,0.595748213724344,2,67,3,5,2,,1,1,0,1,1,2,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,2,2,2,2,,2,1,2,2,3,2,1,1,1,,2,,,,,,2,1,2,2,2,1,3,2,3,3,,1,1,4,4,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",182245270,0.984307809744946,1,27,2,4,2,,1,1,0,1,1,2,1,2,,,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,2,2,,1,1,1,1,2,2,2,,,,2,,,,,,1,2,2,2,2,2,2,2,3,3,2,1,1,4,3,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",125680263,0.734084722692284,2,78,2,5,2,,1,1,0,1,1,2,1,2,,,3,,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,1,,2,2,2,9,,,2,,,,2,,,,,,1,1,1,2,,,1,1,2,3,6,1,0,4,1,1,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",146567423,0.804333372512901,2,75,1,5,2,,1,1,0,1,2,2,1,2,,,2,,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,5,2,,,,2,,,,,,1,1,1,2,,,3,3,3,4,,0,0,4,1,1,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",136774327,0.660649357060791,2,42,2,3,1,,1,1,0,1,2,2,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,2,,1,2,1,3,2,4,1,2,2,1,1,1,2,2,2,3,1,2,1,2,,,1,1,1,1,1,1,1,3,1,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",154207353,0.507626772463314,2,65,3,5,2,,1,1,0,1,1,2,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,1,2,3,2,2,1,1,2,,1,2,1,2,,,1,1,1,2,,,2,2,3,4,1,0,1,1,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",182666152,0.429602152870201,1,61,2,2,2,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,1,4,2,,,,2,,,,,,2,2,,,,,2,2,1,4,5,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",174447717,1.0617398430157,1,30,2,3,2,,1,1,0,1,1,2,2,2,,,2,,1,1,1,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,1,2,1,2,,,,2,,,,,,1,2,2,2,2,1,1,2,2,2,4,1,0,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",187981498,0.983261062497106,1,23,3,4,1,,1,1,0,1,2,1,1,2,,,2,,1,2,2,,,,,,,,,,,,,,2,2,1,2,2,2,,1,2,1,5,2,1,2,,,,2,,,,,,2,2,,,,,1,1,2,2,3,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",171789558,0.705192315680081,2,65,2,4,2,,1,1,0,1,1,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,1,2,1,2,1,1,1,1,2,,2,,,,,,1,1,1,2,,,1,1,1,1,1,0,1,4,1,1,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",162732235,0.696329429654212,1,36,2,4,2,,1,1,0,1,1,1,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,1,1,2,,,,2,,,,,,2,2,,,,,2,1,3,2,2,0,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",149541955,1.48115656206607,2,27,3,5,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,1,1,1,2,,2,2,2,3,3,3,2,,,,2,,,,,,2,2,,,,,2,1,2,4,2,1,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",184684055,1.70699400788646,2,24,2,1,1,,1,1,0,1,1,2,2,2,,,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,1,2,,2,2,2,3,1,1,1,2,2,1,2,,,,,,2,2,,,,,1,1,1,1,1,1,0,4,4,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",209143335,0.712291836064369,2,80,1,5,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,2,2,,,,,,1,1,1,2,,,1,2,2,4,2,0,0,4,1,1,,3,,1,2,1,
