"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,103,0.4658970211183314,31,1,0,1,1,1,1,0,1,0,1,0,NA,1,0,0,0,NA,0
2017,105,1.9544700811243398,40,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,5,2
2017,107,0.47291454475911016,38,2,0,3,0,1,1,0,1,0,0,0,1,1,1,1,1,NA,1
2017,109,1.9544700811243398,49,1,1,3,0,1,1,1,1,0,1,0,NA,1,0,NA,NA,1,1
2017,112,0.5353834136828693,35,2,1,2,0,1,1,0,1,0,0,0,1,1,1,1,1,NA,2
2017,113,1.919007983183653,47,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,NA,0
2017,114,2.9536587195081534,17,1,0,2,0,1,1,1,1,0,1,0,0,0,1,1,1,NA,1
2017,115,0.2860514716047312,75,1,1,4,1,1,1,0,1,1,0,1,0,1,1,0,0,NA,0
2017,116,1.1072908183977073,54,1,0,2,2,1,1,0,1,0,3,0,NA,1,0,NA,NA,1,4
2017,117,0.9570987792517449,34,1,0,2,1,1,1,0,1,0,3,0,NA,1,1,0,0,NA,0
2017,118,0.462539802860622,50,1,0,4,0,1,1,0,1,0,0,0,0,1,0,0,0,NA,0
2017,122,1.8565526784593014,29,1,1,1,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,5,1
2017,123,0.32383832546862207,30,2,0,4,0,1,1,1,1,0,0,0,1,1,1,1,1,NA,3
2017,125,1.9986919526812086,38,1,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,3
2017,126,0.6743415611904492,48,0,0,4,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,1
2017,127,0.31527636317274,30,2,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,4,0
2017,129,0.2860514716047312,44,2,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,NA,3
2017,130,1.850159211442488,50,0,0,2,0,1,1,0,1,0,1,0,1,1,0,0,1,NA,0
2017,131,0.47854938962587246,31,1,0,4,1,1,1,0,1,0,1,0,NA,1,1,NA,NA,3,1
2017,133,0.6476766509372441,30,2,1,4,2,1,1,1,1,0,1,0,0,1,1,1,1,NA,3
2017,134,1.4755486595212377,32,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,135,1.209493937749645,70,1,0,3,3,1,1,0,NA,0,0,0,0,0,1,0,0,NA,4
2017,136,0.31514344007227757,25,2,1,2,0,1,1,0,1,0,0,0,0,1,0,1,1,NA,1
2017,137,0.2860514716047312,30,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,NA,2
2017,138,0.2860514716047312,31,2,1,3,3,1,1,1,1,0,0,0,1,1,0,1,1,NA,0
2017,140,0.6861526682717599,26,2,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,NA,1
2017,141,1.4692047942425068,25,1,1,1,3,1,1,1,1,0,0,0,1,1,1,1,1,NA,1
2017,144,2.9536587195081534,22,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,NA,1
2017,145,1.879588129758262,50,0,1,3,0,1,1,0,1,1,1,1,0,1,0,1,1,NA,1
2017,147,0.31514344007227757,17,2,0,4,1,1,1,0,1,0,0,0,0,1,1,1,1,NA,1
2017,148,0.8441649575829856,27,2,1,4,0,1,1,1,1,0,1,0,0,1,1,1,0,NA,0
2017,149,0.4695067587634183,52,2,1,4,0,1,1,0,1,1,1,1,1,1,1,1,1,NA,4
2017,150,0.6485053959419441,55,0,0,1,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,5,1
2017,153,0.8375630235457737,24,2,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,NA,1
2017,154,2.9536587195081534,18,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,NA,0
2017,155,0.6091363588314156,38,1,0,0,2,1,1,0,1,0,1,0,1,1,0,1,1,NA,3
2017,156,1.0496056574048014,22,2,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,NA,3
2017,159,0.8316384924695615,29,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,NA,3
2017,160,0.45558886022391015,46,1,0,4,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,7,0
2017,161,0.39839726823450866,36,2,0,4,3,1,1,0,1,0,1,0,1,1,0,1,1,NA,2
2017,162,0.2860514716047312,40,2,0,4,0,1,1,0,1,0,0,0,NA,1,0,0,0,NA,0
2017,163,2.9536587195081534,17,1,1,3,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1
2017,164,1.4880251085067875,55,1,0,4,1,1,1,1,1,0,0,0,1,1,1,1,1,NA,0
2017,166,0.572837383933928,55,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,NA,1
2017,168,0.31514344007227757,29,2,0,0,0,1,1,1,1,0,3,0,1,1,1,1,1,NA,3
2017,169,0.6485053959419441,57,0,0,4,0,0,0,0,0,0,3,0,NA,0,0,NA,NA,6,1
2017,170,0.6047469688748225,69,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,NA,0
2017,171,0.31514344007227757,29,0,0,3,0,1,1,0,1,0,1,0,0,1,0,0,0,NA,3
2017,173,0.48257523781199585,50,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,NA,1
2017,175,0.992016739004525,60,1,0,0,0,1,1,0,1,0,3,0,0,1,0,0,1,NA,0
2017,176,0.49925798403002875,39,2,0,2,0,1,1,0,1,0,0,0,0,1,1,0,1,NA,4
2017,177,0.7659173574386122,19,2,1,2,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,0
2017,181,0.31514344007227757,20,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,NA,2
2017,182,1.4069415959716423,25,2,0,2,0,1,1,1,1,0,0,0,1,1,1,1,1,NA,1
2017,184,1.5510460226474918,28,1,0,2,0,1,1,0,1,0,1,0,0,1,1,0,0,NA,1
2017,186,1.5699419909927628,33,0,0,0,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,3,1
2017,187,2.9536587195081534,25,1,0,0,3,1,1,0,1,1,1,1,0,1,1,1,1,NA,3
